Tên tác giả,Tên sách,STT,Trích dẫn
Dương Duy Bách,Làm Chủ Tuổi 20,249,"""Những thí nghiệm khoa học đã chứng minh: Để giết chết một con chuột, người ta chỉ cần chích vào nó một ít máu được rút ra từ những người đang trải qua sự sợ hãi hay tức giận cao độ và nó sẽ chết sau chưa đầy 2 phút."""
Dương Duy Bách,Làm Chủ Tuổi 20,250,Richard Leider: Mục đích của cuộc sống là sống có mục đích.
Dương Duy Bách,Làm Chủ Tuổi 20,251,"""Hãy mở rộng tâm trí và trái tim để lắng nghe những gì đến từ sâu thẳm bên trong con người bạn."""
Dương Duy Bách,Làm Chủ Tuổi 20,252,"""Muốn thành công bạn phải có mục tiêu trước khi bắt đầu. Không có mục tiêu bạn chỉ đang xao nhãng và lãng phí trí tuệ và sức lực của mình mà thôi."""
Dương Duy Bách,Làm Chủ Tuổi 20,253,"""Tiền không làm cho bạn hạnh phúc, nhưng những thứ tiền mua được sẽ làm bạn hạnh phúc."""
Dương Duy Bách,Làm Chủ Tuổi 20,254,"""Khi đặt mục tiêu hãy sử dụng các ngôn từ khẳng định."""
Dương Duy Bách,Làm Chủ Tuổi 20,255,"""Cách bạn làm một việc là cách bạn làm tất cả mọi việc."""
Dương Duy Bách,Làm Chủ Tuổi 20,256,"""Về cơ bản luật hấp dẫn gồm 3 bước: yêu cầu, tin tưởng, đón nhận."""
Dương Duy Bách,Làm Chủ Tuổi 20,257,"""Các vị trí quản lý, quản trị thường không dành cho sinh viên mới ra trường bởi vì những vị trí đó dành cho những người có kinh nghiệm, người ta không thể giao sinh mạng công ty vào tay một bạn sinh viên mới ra trường, không có kinh nghiệm và chỉ có mỗi một tấm bằng ở trên tay được."""
Dương Duy Bách,Làm Chủ Tuổi 20,258,"""Nền tảng vững chắc cần học cả 3 nền giáo dục: Giáo dục học thuật (lý thuyết); Giáo dục nghề nghiệp (dạy nghề); Giáo dục tài chính."""
Dương Duy Bách,Làm Chủ Tuổi 20,259,"""Các cấp bậc học và khả năng lưu giữ kiến thức: ĐỌC: 10% - NGHE: 20% - HÌNH ẢNH: 30% - XEM (phim, video): 50% - TƯƠNG TÁC: 70% - THỰC HÀNH: 100%."""
Dương Duy Bách,Làm Chủ Tuổi 20,260,"""Today is reader, tomorrow is leader."""
Dương Duy Bách,Làm Chủ Tuổi 20,261,"""Một số tác dụng với sức khỏe của nụ cười: Ngừng đau và giảm áp lực; Thúc đẩy tuần hoàn máu, tăng khả năng trao đổi chất; Thúc đẩy chức năng phổi; Tăng cường chức năng hệ tiêu hóa; Giảm béo..."""
Dương Duy Bách,Làm Chủ Tuổi 20,262,"Bí kíp giúp bạn có được cuộc sống vui vẻ, hạnh phúc: CHẤP NHẬN LỜI KHEN."
Dương Duy Bách,Làm Chủ Tuổi 20,263,"Bí kíp giúp bạn có được cuộc sống vui vẻ, hạnh phúc: TRAO TẶNG NHỮNG LỜI KHEN."
Dương Duy Bách,Làm Chủ Tuổi 20,264,"""Quản lý thời gian đồng nghĩa với quản lý cuộc sống."""
Dương Duy Bách,Làm Chủ Tuổi 20,265,"Thời gian quan trọng như là nước đối với cây. Sẽ có những người chỉ sử dụng thời gian để lớn lên, hưởng những thú vui đời thường, và rồi những thách thức cuộc đời sẽ đánh gục họ, khiến họ phải đau khổ, giống như những cây chỉ biết ""hút và tận hưởng""."
Dương Duy Bách,Làm Chủ Tuổi 20,266,"""Tuổi trẻ trôi qua nhanh lắm, nó sẽ thành những năm tháng tuyệt vời đối với những kẻ ham học hỏi và dám mạo hiểm, nhưng nó cũng sẽ trở thành năm tháng vô vị với những kẻ lười biếng sống đời nhàm chán."""
Dương Duy Bách,Làm Chủ Tuổi 20,267,"""Năng lượng thể chất, trí tuệ và tinh thần quyết định hiệu suất làm việc của bạn."""
Dương Duy Bách,Làm Chủ Tuổi 20,268,"""Bí mật của nước."""
Dương Duy Bách,Làm Chủ Tuổi 20,269,"""Nếu bạn muốn thành công bắt buộc bạn phải chơi với người thành công. Hãy sống sao cho xung quanh bạn toàn là những người tích cực và thành công."""
Dương Duy Bách,Làm Chủ Tuổi 20,270,"""Khi bạn mang lại giá trị cho người khác, bạn sẽ được người khác tôn trọng và quý mến hơn."""
Dương Duy Bách,Làm Chủ Tuổi 20,271,"""Giá trị mỗi người thể hiện qua lời nói của họ."""
Dương Duy Bách,Làm Chủ Tuổi 20,272,Nguyên tắc cần chú ý để xây dựng và duy trì một mối quan hệ tốt đẹp: HÃY ĐỐI XỬ VỚI NGƯỜI KHÁC NHƯ CÁCH BẠN MUỐN NGƯỜI KHÁC ĐỐI XỬ VỚI BẠN.
Dương Duy Bách,Làm Chủ Tuổi 20,273,"Nguyên tắc cần chú ý để xây dựng và duy trì một mối quan hệ tốt đẹp: Đừng quá ""tham lam"", hãy xây dựng những mối quan hệ có ""chất lượng cao""."
Dương Duy Bách,Làm Chủ Tuổi 20,274,Nguyên tắc cần chú ý để xây dựng và duy trì một mối quan hệ tốt đẹp: Luôn giữ lời hứa của mình.
Dương Duy Bách,Làm Chủ Tuổi 20,275,Nguyên tắc cần chú ý để xây dựng và duy trì một mối quan hệ tốt đẹp: Tôn trọng người khác như cách bạn muốn người khác tôn trọng bạn.
Dương Duy Bách,Làm Chủ Tuổi 20,276,Nguyên tắc cần chú ý để xây dựng và duy trì một mối quan hệ tốt đẹp: Chú ý chi tiết nhỏ mà quan trọng.
Dương Duy Bách,Làm Chủ Tuổi 20,277,"“Để ba cây chụm lại được với nhau, nó cần nghiêng mình.”"
Dương Duy Bách,Làm Chủ Tuổi 20,278,“Nhờ vả thì dễ nhưng bày tỏ sự biết ơn dường như lại khó vô cùng.”
Dương Duy Bách,Làm Chủ Tuổi 20,279,"“Vũ trụ không cho bạn những gì bạn muốn, chỉ cho bạn những gì bạn tin tưởng và xứng đáng.”"
Dương Duy Bách,Làm Chủ Tuổi 20,280,“Những khó khăn mà bạn gặp phải chỉ là những thử thách của Thượng đế để xem bạn có xứng đáng được thành công hay không.”
Dương Duy Bách,Làm Chủ Tuổi 20,281,"“Nếu không biết nhẫn thì trong tâm hồn luôn có một hòn than hồng âm ĩ cháy, chỉ chờ gió nhẹ thổi tới là bùng cháy.”"
Dương Duy Bách,Làm Chủ Tuổi 20,282,“Lí do chưa nhiều thành công là chưa nhiều thất bại.”
Dương Duy Bách,Làm Chủ Tuổi 20,283,"""Sách là những kiến thức quý báu được tích lũy từ những người thành công và có kinh nghiệm đi trước, những thứ tinh túy nhất đều ở trong sách."""
Dương Duy Bách,Làm Chủ Tuổi 20,284,''Bạn luôn nhận lại chính xác những gì bạn đã gieo theo một cách nào đó.''
Dương Duy Bách,Làm Chủ Tuổi 20,285,sinhviendocsach.com
Dương Duy Bách,Làm Chủ Tuổi 20,286,"''Với nhiều người, cho dù bạn có cho họ kẹo mỗi ngày, thì họ cũng chỉ nhớ mỗi một ngày bạn không cho.''"
Dương Duy Bách,Làm Chủ Tuổi 20,287,"''Sống mạnh mẽ, yêu thương và làm chỗ dựa vững chắc của gia đình chứ không phải là dựa dẫm vào gia đình.''"
Dương Duy Bách,Làm Chủ Tuổi 20,288,"""Thích ngủ thì ngủ, thích ăn thì ăn, ngủ ngày cày đêm... và họ cho đó là sống cuộc đời của mình, sống tự do. Nếu ai còn giữ tư tưởng đó thì đã nhầm rồi. Cái đó gọi là buông thả bản thân, có thể bây giờ họ vô cùng thoải mái, nhưng tin tôi đi, chỉ vài năm nữa họ sẽ phải trả giá, một cái giá quá đắt - bệnh tật sẽ tìm đến họ, đến mạng sống cũng khó để giữ được.''"
Dương Duy Bách,Làm Chủ Tuổi 20,289,''Lãng phí cơ hội và lãng phí thời gian là những sự lãng phí tài sản vô hình lớn nhất của con người.''
Dương Duy Bách,Làm Chủ Tuổi 20,290,''Cơ hội luôn đi đôi với rủi ro và ngược lại.''
Dương Duy Bách,Làm Chủ Tuổi 20,291,''Cơ hội dành cho tất cả mọi người nhưng chỉ người nhanh nhất mới có được nó.''
Dương Duy Bách,Làm Chủ Tuổi 20,292,''Bạn không thể biết mình mạnh mẽ như thế nào cho đến khi mạnh mẽ là sự lựa chọn cuối cùng.''
Dương Duy Bách,Làm Chủ Tuổi 20,293,"''Muốn cái này, muốn cái kia, chúng ta muốn rất nhiều thứ, nhưng ít người hiểu được thực sự để thành công, cái giá phải trả phải là tương xứng.''"
Dương Duy Bách,Làm Chủ Tuổi 20,294,"''Hầu hết những người có khả năng chia sẻ, đào tạo là những người có khả năng lãnh đạo.''"
Dương Duy Bách,Làm Chủ Tuổi 20,295,"''Bạn sinh ra là một bản thể, đừng chết đi như một bản sao.''"
Dương Duy Bách,Làm Chủ Tuổi 20,296,''Hành trình vạn dặm khởi đầu bằng một bước chân đầu tiên.''
Dương Duy Bách,Làm Chủ Tuổi 20,297,''Muốn thành công tôi cần phải trả giá xứng đáng với những gì nhận được. Mất mát sẽ làm tôi trân trọng những thứ xung quanh mình hơn.''
Dương Duy Bách,Làm Chủ Tuổi 20,298,"''Không bao giờ là quá muộn. Sẽ là muộn màng khi chết mà mình chưa dám làm gì, ước mơ chỉ là trên giấy.''"
Dương Duy Bách,Làm Chủ Tuổi 20,299,Thomas Edison: Thiên tài gồm 1% cảm hứng và 99% là sự kiên trì.
Dương Duy Bách,Làm Chủ Tuổi 20,300,Thomas Edison - thầy phù thủy ở Menlo Park.
Dương Duy Bách,Làm Chủ Tuổi 20,301,"Jack Ma: ''Tôi không giỏi Toán, chưa từng học quản lý và vẫn không đọc được báo cáo kế toán.''"
Dương Duy Bách,Làm Chủ Tuổi 20,302,Jack Ma: Là ứng viên duy nhất bị KFC từ chối.
Dương Duy Bách,Làm Chủ Tuổi 20,303,''Tiết chế cái tôi. Sống chậm lại. Cúi mình xuống. Yêu thương nhiều hơn. Hy sinh lợi ích cá nhân cho tập thế. Cho đi rộng lượng. Bớt thể hiện. Tập trung vào giá trị. Nói ít. Làm nhiều.''
Joseph Murphy,Sức Mạnh Tiềm Thức,304,"""Suy nghĩ trong tiềm thức của một người thế nào thì họ sẽ như thế ấy."""
Joseph Murphy,Sức Mạnh Tiềm Thức,305,"""Tiềm thức luôn có khuynh hướng hướng về cuộc sống, thế nên bạn chỉ cần tác động đến ý thức. Hãy nuôi dưỡng ý thức bằng những nhận thức đúng đắn bởi tiềm thức sẽ sao chép những kiểu mẫu quen thuộc mà ý thức đã tiếp nhận."""
Joseph Murphy,Sức Mạnh Tiềm Thức,306,"""Suốt cả ngày dài bạn gieo những hạt giống suy nghĩ vào tiềm thức. Tiềm thức là một mảnh đất màu mỡ sẽ giúp tất cả các loại hạt nảy mầm và xanh tốt bất luận hạt giống tốt hay xấu."""
Joseph Murphy,Sức Mạnh Tiềm Thức,307,"""Mỗi vĩ nhân thuộc mỗi thời đại đều nắm giữ một bí mật vĩ đại, đó là khả năng tiếp xúc và giải phóng nguồn sức mạnh của tiềm thức. Bạn cũng có thể làm như vậy."""
Joseph Murphy,Sức Mạnh Tiềm Thức,308,"Tiềm thức của bạn theo dõi từng lời bạn nói, từng ý bạn nghĩ. Vậy nên đừng bao giờ nói hay có suy nghĩ kiểu như: ""Mình không thể sắm nổi nó"" hoặc ""Mình không thể làm điều này"" vì tiềm thức sẽ ghi nhận bạn không có tiền bạc hoặc khả năng để làm điều này. Thay vào đó hãy quả quyết: ""Mình có thể làm được tất cả nhờ vào sức mạnh tiềm thức""."
Joseph Murphy,Sức Mạnh Tiềm Thức,309,"""Quy luật cuộc sống là quy luật của niềm tin. Niềm tin chính là ý nghĩ trong tâm khảm của bạn."""
Joseph Murphy,Sức Mạnh Tiềm Thức,310,"""Đôi khi ý thức được coi là tâm thức khách quan vì lẽ nó xử trí những đối tượng bên ngoài. Tâm thức khách quan nhận thức thế giới khách quan. Phương tiện quan sát của nó là ngũ quan của bạn. Chức năng quan trọng nhất của nó là suy luận."""
Joseph Murphy,Sức Mạnh Tiềm Thức,311,"""Tiềm thức thường được coi là tâm thức chủ quan. Tâm thức chủ quan lĩnh hội bằng trực giác, là trung tâm của cảm xúc và là kho lưu trữ của trí nhớ."""
Joseph Murphy,Sức Mạnh Tiềm Thức,312,"""Tiềm thức không có khả năng tranh luận hoặc bàn cãi điều gì nó được cho biết. Bạn cho nó thông tin sai lạc, nó cũng sẽ nhìn nhận là thật. Và rồi tìm cách hiện thực hóa thông tin đó."""
Joseph Murphy,Sức Mạnh Tiềm Thức,313,"""Hãy xin, bạn sẽ được; hãy tìm, bạn sẽ gặp; hãy gõ, và cửa sẽ mở."""
Joseph Murphy,Sức Mạnh Tiềm Thức,314,"""Tưởng tượng là khả năng mạnh mẽ nhất của bạn. Hãy tưởng tượng điều lý thú và tốt đẹp. Bạn chính là hình ảnh của những gì bạn hình dung về chính mình."""
Joseph Murphy,Sức Mạnh Tiềm Thức,315,"""Bất luận niềm tin khách quan của bạn là gì, nếu bạn đã thừa nhận hoặc tin tưởng một cách tích cực hoặc ngấm ngầm, tiềm thức sẽ bị chi phối bởi sự ám thị và niềm mong mỏi của bạn sẽ thành hiện thực."""
Joseph Murphy,Sức Mạnh Tiềm Thức,316,"""Cách tốt nhất để ghi khắc tiềm thức là đưa cơ thể vào trạng thái mơ màng hoặc một trạng thái gần với giấc ngủ trong đó mọi sự dụng sức được giảm đến mức tối thiểu."""
Joseph Murphy,Sức Mạnh Tiềm Thức,317,"""Khi bạn rơi vào trạng thái ngủ, sự ráng sức được giảm xuống mức tối thiểu, hoạt động ý thức lắng xuống nhường chỗ cho hoạt động mạnh mẽ của tiềm thức. Điều này lý giải vì sao tiềm thức phát huy sức mạnh tốt nhất vào thời điểm trước khi bạn ngủ và ngay sau khi bạn thức dậy."""
Joseph Murphy,Sức Mạnh Tiềm Thức,318,"""Quả quyết là khẳng định rằng nó là như thế, sẽ xảy ra như thế, và khi bạn giữ vững thái độ tinh thần này, bạn sẽ nhận được sự hồi đáp cho lời cầu nguyện của mình."""
Joseph Murphy,Sức Mạnh Tiềm Thức,319,"""Các nhà khoa học cho biết cơ thể sẽ hoàn toàn đổi mới sau chu kỳ 11 tháng."""
Joseph Murphy,Sức Mạnh Tiềm Thức,320,"""Phương pháp để đẩy lùi bóng tối là xua tan ánh sáng."""
Joseph Murphy,Sức Mạnh Tiềm Thức,321,"""Mọi trải nghiệm đi vào cuộc đời bạn phụ thuộc vào bản chất của khối nguyên liệu mà bạn dùng để xây dựng ngôi nhà tinh thần của mình."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,322,"""Lựa chọn việc cố gắng kiềm chế bản thân để khiến người khác được vui là biểu hiện của tâm hồn nô lệ."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,323,"""Khi bạn cư xử với người khác bằng tấm lòng mình thì họ cũng nhìn nhận bạn bằng cái tâm của họ, bằng con người thực sự của họ."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,324,"""Việc kết bạn với những người hợp với mình không phải là thước đo độ rộng hẹp của thế giới, mà là thước đo độ hạnh phúc của bạn với điều đó."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,325,"Việc ""chọn bạn mà chơi"" giống như việc lựa chọn cách sống của riêng mình. Người mà bạn sẽ kết giao cũng có thể chính là kẻ hủy hoại cuộc đời bạn."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,326,"""Hãy thả lòng bản thân để vơi đi những nỗi sợ hãi khi bạn phải mất đi một số mối quan hệ xã hội."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,327,"""Chúng ta có thể kết giao với những người khiến chúng ta dám thể hiện bản thân mình."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,328,"""Theo bản năng ai cũng muốn sống ôn hòa, không bị ghét bỏ. Nhưng nếu khao khát đó của bạn quá lớn, trái lại, nó sẽ làm cho cuộc sống của bạn trở nên bế tắc và khiến bạn tổn thương. Bạn sẽ dễ sa vào lối sống để vừa ý người khác."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,329,"""Việc đọc tâm lí người khác là điều rất có ý nghĩa, nhưng truyền đạt thông tin tới họ mới là việc cần thiết hơn."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,330,"Những người mạnh mẽ là những người mắc bệnh ""không biết xấu hổ""."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,331,"""Thao tác trực quan hóa những suy nghĩ là cách đơn giản nhất giúp bạn hiểu ra vấn đề."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,332,"""Ghi ra không chỉ giúp những gì ta nghĩ trở nên trực quan mà nó còn giúp làm cho trái tim của chúng ta có định hướng rõ ràng hơn."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,333,"Hãy ghi ra ""to-do-list"" cho những nỗi bất an mơ hồ của bản thân, ghi ra những việc bạn có thể làm được từ hôm nay, không chỉ trong chuyện tiền bạc, mà còn trong các chuyện khác như: sức khỏe, sự cô độc, ... Càng ghi chú kỹ càng tốt."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,334,"Nếu bạn muốn đạt được thành công trong lĩnh vực của mình, hãy từ bỏ làm người quá tốt, bạn càn phá vỡ lớp vỏ đó. Điều này không biến bạn thành tội phạm, mà biến bạn trở thành ""dị nhân"". ""Dị nhân"" mà tôi muốn nói ở đây là những người có thể có cách nhìn, suy nghĩ và hành động khác với mọi người khi tiếp cận một sự việc."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,335,"Thảm họa 311 hay gọi là thảm họa Đông Nhật xảy ra vào tháng 3 năm 2011 là thảm họa gây ra động đất, sóng thần và nổ nhà máy điện hạt nhân. Đó là một nỗi kinh hoàng với người Nhật và cả thế giới."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,336,"""Giả sử lý lẽ của bạn đúng, nhưng nếu đem nó áp đặt lên những người khác thì sẽ khiến họ phẫn nộ và gây nên rắc rối."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,337,"""Những người chỉ biết lợi dụng thường không có khái niệm cảm ơn, nên khi được giúp đỡ họ xong, người quá tốt chỉ nhận được những lời cảm ơn suông mà thôi."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,338,"""Việc bạn nhận được tiền từ người khác đồng nghĩa với việc bạn làm cho họ cảm thấy hài lòng."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,339,"""Trong việc mua bán hàng hóa hay dịch vụ, việc trao đổi bằng tiền bạc sẽ làm cho mối quan hệ với những người xung quanh trở nên công bằng, giúp ta duy trì được mối quan hệ lâu dài."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,340,"""Người giới hạn bản thân là chính mình, người khiến ta từ bỏ giấc mơ cũng là chính mình, người làm thay đổi tương lai của mình cũng là chính mình."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,341,"""Thay vì chờ đợi kỳ tích xuất hiện, hãy tạo ra kỳ tích, chẳng phải việc đó sẽ ngầu hơn hay sao?"""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,342,"""Người dũng cảm không phải là người không hề biết sợ mà là người cho dù sợ cũng vẫn gan góc tiến bước để thoát ra khỏi những nỗi sợ hãi đó."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,343,"""Cánh cửa thành công được mở ra từ quá trình thực hiện."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,344,"Một nhà lãnh đạo chân chính không phải là người luôn nói rằng ""Tôi là nhà lãnh đạo"", cũng không phải là người được mọi người nhận xét ""Cậu là một nhà lãnh đạo"", hay cũng không phải là một tấm biển ghi ""Trưởng phòng, Giám đốc..."" mà đó chính là sự thu phục nhân tâm, được mọi người xung quanh đón nhận một cách tự nhiên."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,345,"""Lãnh đạo là người chỉ đường cho mọi người và đi tiên phong trong việc bảo vệ lợi ích nhóm. Điều quan trong đối với vị trí lãnh đạo không phải là sự tôn kính của cấp dưới, mà là bạn có đủ tố chất và tinh thần của người lãnh đạo hay không."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,346,"""Đó chính là năng lực phán đoán xem đâu là con đường tốt, là năng lực dẫn dắt khi đã lựa chọn được đường đi, và đó cũng là sự giác ngộ, biết nhận trách nhiệm nếu như con đường mình lựa chọn là sai lầm."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,347,"""Để chỉ dẫn được một tổ chức đi theo cùng một hướng, thì người lãnh đạo cần phải biết uốn nắn, hoặc bài trừ những người làm tổn hại, những người không tuân theo quy tắc, hay vi phạm những lợi ích chung của nhóm."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,348,"""Có những lúc cần kiên quyết, cần trách mắng thẳng thừng, lại có lúc chấp nhận bỏ qua cả tình cảm bạn bè."""
Tokio Godo,Đừng Cười Để Vừa Lòng Người,349,Lady Gaga từng nói: “Nếu không hề có bất kỳ bóng tối nào nghĩa là bạn cũng đang không ở trong ánh sáng.”
Tokio Godo,Đừng Cười Để Vừa Lòng Người,350,"“Những nhà lãnh đạo tài ba là những người phát sáng rực rỡ, và cũng là người vô cùng tối tăm trong mắt những người không thích họ.”"
Tokio Godo,Đừng Cười Để Vừa Lòng Người,351,"Đã là khách hàng và bỏ tiền ra để mua sự hài lòng, tại sao bản thân phải chịu đựng những thứ khiến mình không thoải mái?"
Tokio Godo,Đừng Cười Để Vừa Lòng Người,352,Tranh luận không phải là việc dùng nấm đấm để giải quyết.
Tokio Godo,Đừng Cười Để Vừa Lòng Người,353,Tranh luận của người trưởng thành là dùng những lý luận để phản bác lại quan điểm của đối phương một cách bình tĩnh.
Tokio Godo,Đừng Cười Để Vừa Lòng Người,354,"Có lẽ nhiều người nghĩ rằng nói dối là không tốt, nhưng những lời nói dối vô hại lại là phương tiện hữu ích cho ta. Nhìn chung những lời nói dối đó có thể được coi là sách lược giúp ta tìm hiểu về tâm lý của con người và tạo ra khoảng cách về thu nhập với những người khác."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,355,"Khi những rào cản về từ ngữ và hành động chưa được nhổ bỏ, mối quan hệ không thể tiến triển sâu hơn."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,356,"So với việc ôm lấy đau khổ rồi cố tạo cho mình một nụ cười để chia tay, việc trò chuyện thẳng thắn, thậm chí là to tiếng rồi chia tay sẽ khiến bạn có một tinh thần sảng khoái hơn rất nhiều."
Tokio Godo,Đừng Cười Để Vừa Lòng Người,357,"Mỗi người là một thể thống nhất nên rất khó để có thể tiếp cận chính mình một cách khách quan. Trong trường hợp ấy hãy bóc tách một cách riêng rẽ bằng việc ghi lên giấy, hãy thử thoát ly linh hồn của mình, dùng trực giác của bản thân để nhìn lại tổng thể con người mình, chắc chắn bạn sẽ tiến gần hơn tới cảm xúc thực sự của mình một cách điềm tĩnh và khách quan."
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,358,"“Điều khiến cho người ta bật cười, là sự khôi hài; điều khiến người ta suy nghĩ một lát mới bật cười, là sự hài hước.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,359,"“Người hài hước đa phần đều là những người lạc quan, tích cực, đồng thời cũng là những người ấm áp, dịu dàng, họ luôn giữ thái độ vui vẻ với người khác, ít khi tuyệt vọng về cuộc sống.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,360,"“Trong sự hài hước có thể biểu lộ sự ôn hòa thiện ý, cởi mở, những cũng có thể biểu lộ sự đả kích sắc bén.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,361,"“Tìm một hồ nước đẹp, câu lấy vài con cá, nhớ lại những được và mất trong đời, uống một bình rượu ngon, kết thêm vài người bạn, mỉm cười nhìn đời được mất. Không vui cũng là sống, mà vui cũng là sống, vậy thì chúng ta hãy vui vẻ lên một chút, học cách điều tiết tâm trạng của bản thân! Lúc buồn ta nên tự tìm kiếm niềm vui cho mình, để cuộc sống bình yên được thêm phần thú vị.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,362,"“Hài hước luôn khiến cuộc sống trở nên thú vị hơn. Nó là ánh sáng của trí tuệ, là một phẩm chất tốt đẹp của tư duy chứ không phải là biểu hiện của sự lẻo mồm lẻo mép, cũng không phải là những trò đùa dung tục.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,363,"“Hài hước không có nghĩa là đùa cợt, nó sâu sắc hơn đùa cợt rất nhiều; hài hước không có nghĩa là chọc cười, nó có ý nghĩa hơn việc chọc cười rất nhiều; hài hước cũng không phải là mồm mép, dung tục, chớt nhả, mà là một phẩm chất và năng lực, và cũng là một môn nghệ thuật.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,364,“Linh hồn của hài hước chính là sự chân thành và trang nghiêm.”
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,365,"“Hài hước khác với chọc cười. Chọc cười là thông qua những ngôn ngữ, hành vi khác người hay khác thường để giành được tiếng cười của mọi người, nhưng nó thiếu những ý nghĩa sâu xa mà hài hước mang lại.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,366,"“Trong sự hài hước còn bao hàm cả trí tuệ, qua đó có thể nhận ra khả năng phản ứng của một người nhanh hay chậm.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,367,"“Lùi, thể hiện sự khoan dung. Nếu nói rằng mặt biển vì rộng nên bao la, mặt đất vì rộng nên tràn đầy sức sống, bầu trời vì rộng nên bát ngát, vậy thì con người cũng nên vì rộng lượng mà trở nên cao thượng, bởi những người có phẩm chất cao thượng đều được hoan nghênh và được mọi người tôn kính.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,368,"Chỉ cần bạn chịu “lùi” thì bạn sẽ dễ dàng bước lên chiếc thang của xã hội, trèo ngày càng cao hơn."
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,369,"“Hài hước phải được đặt trên tiền đề là sự tôn trọng lẫn nhau chứ không phải là đùa một cách tùy tiện, nó là biểu hiện của một loại tri thức, tư tưởng, trí tuệ, khi đã xác định được mức độ phù hợp thì sẽ giúp lời nói của bạn đạt được hiệu quả cao nhất.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,370,"Cho dù mối quan hệ tốt tới đâu đi nữa, bạn cũng không nên đem bí mật của ai đó công bố cho mọi người biết, càng không được coi đó là “nguyên liệu” để gây cười. “Họa từ miệng mà ra”, chuyện gì nên nói, chuyện gì không nên nói đều phải cân nhắc kĩ trong đầu."
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,371,"“Nếu lấy bí mật của người khác ra để trêu đùa thì sẽ dễ dẫn đến tình trạng tuy người nói vô ý nhưng người nghe lại để bụng. Họ sẽ cho rằng bạn cố tình làm bẽ mặt họ, từ đó khiến nảy sinh thù hận không đáng có giữa hai bên.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,372,"“Biểu đạt sự hài hước một cách tế nhị là không nói trực tiếp vào điều quan trọng mà mình muốn nói, nhưng lại khiến tất cả mọi người hiểu được ý của mình, hơn nữa còn thấy vui vẻ với câu chuyện đó.”"
Lưu Chấn Hồng,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,373,"“Hài hước là sự thâm thúy nhẹ nhàng, nở một nụ cười bỡn cợt trước những nông cạn của đời.”"
